Ano	MÊS	Tmin 	Tmax 	Tmed 	Prec	Dias com Precipitação	Urmed	Vv média	HF
2015	JAN	18,5	27,8	22,3	135	14	78,4	2,6	0
2015	FEV	18	27,3	21,6	130	13	80,1	2,6	0
2015	MAR	17	26,7	20,9	56	6	77,5	2,6	0
2015	ABR	14,5	23,4	18,2	137	8	79,6	2,4	0
2015	MAI	12,7	20	15,7	115	10	82,2	2,8	4
2015	JUN	9,8	18,2	13,7	217	12	80	2,8	73
2015	JUL	10	17,8	13,6	233	15	87	2	34
2015	AGO	14	23,4	18,3	76	7	72,5	2,6	0
2015	SET	11,4	20,5	15,4	250	11	78,5	2,8	29
2015	OUT	13,1	21,3	16,8	280	14	83,1	2,9	5
2015	NOV	14,9	23,1	18,5	145	12	80,5	2,9	0
2015	DEZ	17,6	25,9	21,2	198	13	81,4	2,8	0
2016	JAN	18,6	28,4	22,8	115	7	73,2	2,9	0
2016	FEV	19,1	28	22,6	146	8	79,2	2,6	0
2016	MAR	16,2	24,5	19,6	243	12	81,4	2,8	0
2016	ABR	16,5	24,8	19,9	260	13	81,4	2,8	61
2016	MAI	9,6	16,7	12,6	60	7	86	2,3	57
2016	JUN	5,9	15,1	10	7	3	78,2	2,1	226
2016	JUL	8,5	18,1	12,8	192	7	77,5	3	143
2016	AGO	10,2	19,6	14,5	111	8	74,6	2,8	32
2016	SET	9,6	20,5	14,2	84	7	74,1	2,9	11
2016	OUT	12,9	22,8	17,2	373	11	76,1	3,3	0
2016	NOV	13,1	24,8	18,6	104	8	70,9	2,8	6
2016	DEZ	17,2	27,4	21,6	81	11	73,2	2,8	0
2017	JAN	18,2	28	22,2	147	14	77,7	2,7	0
2017	FEV	19,1	28,2	22,9	138	10	77,8	2,7	0
2017	MAR	16,4	25,5	20,3	250	6	77,9	2,9	0
2017	ABR	13,7	22,1	17,4	157	12	77,6	2,9	11
2017	MAI	13,1	19,6	16	313	15	84,4	3	0
2017	JUN	10,1	18,4	13,8	160	10	81,5	3	68
2017	JUL	9,9	20	14,5	29	2	69,4	3,2	92
2017	AGO	10,9	20,7	15,2	114	8	74,8	3,4	17
2017	SET	14,8	24,6	19,1	107	7	73,9	2,9	0
2017	OUT	13,4	22,7	17,7	184	12	75,6	3,2	1
2017	NOV	13,1	24,2	18,2	162	11	70,4	2,8	0
2017	DEZ	17	27,6	21,7	102	8	72,6	2,8	0
2018	JAN	17,5	26,6	21,4	147	10	77,4	2,8	0
2018	FEV	16,7	27,1	21	85	5	73,5	2,7	0
2018	MAR	16,5	25,8	20,4	124	8	77,5	2,4	0
2018	ABR	16,6	25,6	20,3	40	4	77	2,5	0
2018	MAI	12,1	20,3	15,5	119	4	81	2,6	33
2018	JUN	8,1	16,5	11,8	190	11	84,3	2,5	123
2018	JUL	9,3	17,6	13,1	163	11	83,3	3	84
2018	AGO	7,9	17,4	12,1	217	8	79	2,9	145
2018	SET	13,4	21,7	17	182	12	79,7	2,9	2
2018	OUT	13,3	22,2	17,2	221	10	78,4	3,1	0
2018	NOV	15,4	25,5	20,1	191	9	71,6	3	0
2018	DEZ	16,8	27,2	21,2	134	10	72,4	2,6	0
2019	JAN	19,5	29	23,6	138	15	77,1	2,8	0
2019	FEV	17	26,6	21,1	128	9	76,9	2,6	0
2019	MAR	16,1	25	19,8	83	8	78,5	2,6	0
2019	ABR	15,6	23,7	18,9	160	8	83,7	2,3	0
2019	MAI	13,7	20,2	16,4	124	13	87,3	2	0
2019	JUN	12	20,9	16,2	78	6	78	3,1	29
2019	JUL	8,3	17,1	12,3	35	5	78,2	2,7	142
2019	AGO	8,5	19,5	13,4	98	5	74,5	3,1	142
2019	SET	10,9	21	15,4	73	6	75,1	3	30
2019	OUT	14,3	23,5	18,5	259	15	77,6	3	0
2019	NOV	15,5	25,5	19,9	159	11	75,2	2,8	0
2019	DEZ	16,9	29,1	22,4	37	5	61,8	2,9	0
2020	JAN	17,8	27,9	22,2	145	10	72,7	2,7	0
2020	FEV	17,1	27,8	21,5	67	6	70,3	2,9	0
2020	MAR	17,2	28,9	22,2	33	3	66,4	2,9	0
2020	ABR	12,8	23,3	17,5	34,3	4	68,3	2,5	1
2020	MAI	10,2	20,3	14,8	143,4	9	71,3	2,8	21
2020	JUN	11	19,1	14,8	242	8	78,4	3,4	81
2020	JUL	7,8	17	12,2	315,3	10	78,3	2,9	163
2020	AGO	9,8	20,8	14,7	112	6	70	2,8	66
2020	SET	11,5	22	16,2	137,8	11	77,9	2,8	32
2020	OUT	13,2	24,3	18,1	46,4	4	71,7	2,9	0
2020	NOV	14,4	25,5	19,2	40	5	71,6	2,2	0
2020	DEZ	16,4	27,4	21	125,7	12	74,2	2,2	0
2021	JAN	 	 	 	 	 	 	 	 
2021	FEV	16,7	26,7	20,9	61	8	75,1	2,5	0
2021	MAR	 	 	 	 	 	 	 	 
2021	ABR	 	 	 	 	 	 	 	 
2021	MAI	8,7	18,5	13,1	198	8	78,5	2,6	52
2021	JUN	8,7	16,1	12	167,2	10	83,1	2,8	119
2021	JUL	7,6	17,8	12,2	35,4	8	69,6	2,9	148
2021	AGO	11	20,8	15,3	117,2	8	76,1	3	26
2021	SET	12,4	21,4	16,4	172,8	12	80,2	2,9	0
2021	OUT	12,9	22,7	17,2	92,4	11	73,5	2,9	0
2021	NOV	14,5	25,8	19,6	38,2	6	69,6	2,9	0
2021	DEZ	16,5	28,6	21,6	31,2	3	66,3	2,9	0
2022	JAN	18,9	31,4	23,9	81,6	10	66,2	3,1	0
2022	FEV	17,5	29,3	22,4	104,2	10	69,7	2,6	0
2022	MAR	15,9	25,3	19,9	173,8	14	78,2	2,7	1
2022	ABR	13,6	22,5	17,4	156	9	79,3	2,7	0
2022	MAI	9,6	16,6	12,8	293	15	86	2,5	62
2022	JUN	7,6	15,3	11,2	200	10	84,1	2,5	154
2022	JUL	11,6	20,5	15,8	147,8	8	77,7	3,2	54
2022	AGO	8,9	19	13,3	105,4	12	76,7	3	87
2022	SET	9,5	19,3	13,9	59	13	76	3	49
2022	OUT	12,2	22,1	16,4	119,4	13	76,9	2,8	7
2022	NOV	13,1	24	18,2	56	5	66,4	3	12
2022	DEZ	15,7	28,2	21,6	135	10	69,2	2,7	0
2023	JAN	18,4	30,1	23,2	86,8	6	67,4	2,8	0
2023	FEV	16,9	27,3	21,5	138,4	10	67,4	2,5	0
2023	MAR	18,6	28,1	22,4	89,8	9	75,8	2,7	0
2023	ABR	13,7	22,6	17,5	61,8	6	76,9	2,5	4
2023	MAI	12,2	20,7	16	134	8	79,7	2	2
2023	JUN	10,4	18,4	14,1	185,2	8	79,8	2,7	56
2023	JUL	9,9	18,3	14,3	155,6	7	81,7	2,6	87
2023	AGO	10,3	21,2	15,4	65,8	6	72	3	60
2023	SET	12,9	21,8	16,9	427	18	81,2	3,3	16
2023	OUT	13,1	21,5	16,9	232	11	81,6	2,8	0
2023	NOV	15,5	24,7	19,6	325,4	18	77,6	2,9	0
2023	DEZ	17,4	27,5	22	123,8	10	76,7	2,7	0
2024	JAN	17,4	26,7	21,3	180,8	13	78,1	2,7	0
2024	FEV	19,4	29,1	23,3	149,2	9	76,4	2,7	0
2024	MAR	17,5	27,2	21,7	72,6	8	78,3	2,5	0
2024	ABR	15,9	24,1	19,5	409,4	15	82,8	2,7	0
2024	MAI	11,3	18,1	14,4	683,8	18	87,4	2,6	68
2024	JUN	12,2	20	15,7	343	12	78,7	3,1	56
2024	JUL	9	16,5	12,2	74,2	9	80,9	2,5	169
2024	AGO	10,1	20,1	14,6	77,8	9	73,7	2,7	121
2024	SET	13,2	23,5	17,9	121,4	9	74,8	3	2
2024	OUT	14,3	23,7	18,4	85,9	10	75,6	3,1	0
2024	NOV	16,6	26,6	20,8	67,2	8	72,2	2,9	0
2024	DEZ	15,4	25,1	19,6	246,2	14	77,3	2,8	0
